iter	MultiClass
0	1.353821866
1	1.3234673
2	1.29504742
3	1.267973909
4	1.242464946
5	1.218596457
6	1.195899254
7	1.17374354
8	1.152921455
9	1.133286396
10	1.114484606
11	1.096030833
12	1.078638279
13	1.061650339
14	1.045520522
15	1.030452435
16	1.015657581
17	1.001554691
18	0.9878386634
19	0.9743555954
20	0.9616632998
21	0.9493465787
22	0.9375814909
23	0.926156858
24	0.915350925
25	0.9045735955
26	0.8941621345
27	0.8840043276
28	0.8744134101
29	0.8646678643
30	0.8551964453
31	0.8462327001
32	0.8375755252
33	0.8291909187
34	0.8211965587
35	0.8132717351
36	0.8054923603
37	0.7979654895
38	0.7906465263
39	0.7837037694
40	0.7769565653
41	0.7705157272
42	0.7641191208
43	0.7576184325
44	0.751247424
45	0.7450528081
46	0.7391953665
47	0.7335407643
48	0.7277342938
49	0.7221519796
50	0.716774251
51	0.7115272562
52	0.7064178702
53	0.7012579345
54	0.6963784374
55	0.6914503451
56	0.6867404861
57	0.682159631
58	0.6777432199
59	0.6733785211
60	0.6691717437
61	0.6647583995
62	0.660856551
63	0.6567104801
64	0.6525523631
65	0.6487138481
66	0.6448625131
67	0.6410811223
68	0.6372006835
69	0.6335777128
70	0.6301469212
71	0.6266612083
72	0.6233549504
73	0.6200831173
74	0.6168553763
75	0.6136462128
76	0.6105063247
77	0.6074265766
78	0.6043633307
79	0.6013367006
80	0.5984657166
81	0.5954996861
82	0.5927717597
83	0.5899647342
84	0.5873602153
85	0.5846342314
86	0.5819153852
87	0.5794917224
88	0.5771205962
89	0.5745678904
90	0.571992054
91	0.5694317313
92	0.5669736381
93	0.5646791174
94	0.5622800182
95	0.5600926865
96	0.5578051109
97	0.5556560582
98	0.5535099334
99	0.5513034446
100	0.5493000698
101	0.5472725514
102	0.5454701932
103	0.5435784557
104	0.541768985
105	0.5397933096
106	0.5378781288
107	0.5357637328
108	0.5339239067
109	0.532217206
110	0.530535906
111	0.5287846015
112	0.5271062563
113	0.5252588608
114	0.5237085616
115	0.522059877
116	0.5201944803
117	0.5186536691
118	0.517200042
119	0.5155886798
120	0.5140306572
121	0.5123897761
122	0.5109789926
123	0.509500395
124	0.5079588697
125	0.5064090188
126	0.5049293148
127	0.5035360915
128	0.5022206657
129	0.5008906697
130	0.4995294869
131	0.4982508115
132	0.4968053213
133	0.4952955699
134	0.4940323357
135	0.4928404803
136	0.4916702831
137	0.4902898223
138	0.4890087548
139	0.4878120364
140	0.4866164397
141	0.4853005898
142	0.4839797245
143	0.482730809
144	0.4817051607
145	0.4805281283
146	0.4791507
147	0.4778977133
148	0.4767889346
149	0.4757388314
150	0.4744636267
151	0.4733244064
152	0.4722073488
153	0.4711684011
154	0.469871445
155	0.4684350949
156	0.4672530524
157	0.4656856739
158	0.464634286
159	0.4636636691
160	0.4627391223
161	0.4618004452
162	0.4605963303
163	0.4596970062
164	0.4587854317
165	0.4574653096
166	0.4566104191
167	0.4556125585
168	0.4546285575
169	0.4536048601
170	0.4523699941
171	0.4514583391
172	0.4502496017
173	0.4492985052
174	0.4483573384
175	0.4475569513
176	0.4465085514
177	0.4456323097
178	0.4447360673
