iter	Passed	Remaining
0	67	26993
1	122	24475
2	184	24385
3	239	23691
4	297	23512
5	358	23568
6	435	24431
7	493	24205
8	555	24132
9	616	24028
10	680	24078
11	747	24178
12	817	24349
13	875	24145
14	938	24079
15	1008	24200
16	1076	24244
17	1134	24070
18	1197	24014
19	1267	24077
20	1333	24070
21	1392	23932
22	1458	23902
23	1521	23832
24	1580	23701
25	1641	23615
26	1700	23494
27	1762	23421
28	1818	23266
29	1881	23208
30	1940	23095
31	1997	22973
32	2054	22848
33	2114	22765
34	2171	22642
35	2232	22577
36	2299	22562
37	2361	22492
38	2424	22445
39	2495	22462
40	2561	22426
41	2617	22307
42	2679	22248
43	2744	22204
44	2813	22197
45	2876	22133
46	2936	22052
47	3000	22004
48	3069	21988
49	3128	21898
50	3197	21880
51	3278	21943
52	3353	21958
53	3426	21956
54	3512	22035
55	3592	22066
56	3672	22098
57	3757	22154
58	3860	22311
59	3985	22583
60	4054	22534
61	4121	22467
62	4180	22364
63	4251	22321
64	4324	22287
65	4392	22230
66	4454	22140
67	4514	22042
68	4581	21978
69	4654	21941
70	4720	21874
71	4783	21792
72	4849	21722
73	4912	21640
74	4973	21552
75	5037	21475
76	5097	21383
77	5159	21297
78	5224	21230
79	5304	21219
80	5402	21278
81	5494	21308
82	5591	21353
83	5723	21531
84	5839	21641
85	5955	21744
86	6051	21772
87	6136	21755
88	6221	21739
89	6304	21714
90	6387	21689
91	6461	21633
92	6532	21563
93	6593	21465
94	6659	21380
95	6731	21316
96	6804	21256
97	6871	21174
98	6933	21080
99	7000	21000
100	7063	20911
101	7129	20828
102	7193	20741
103	7270	20693
104	7336	20611
105	7400	20524
106	7471	20459
107	7538	20382
108	7604	20301
109	7670	20221
110	7739	20150
111	7805	20071
112	7867	19982
113	7934	19905
114	8003	19834
115	8064	19744
116	8126	19656
117	8189	19571
118	8257	19499
119	8318	19409
120	8380	19322
121	8447	19248
122	8510	19166
123	8575	19086
124	8640	19009
125	8714	18951
126	8775	18863
127	8841	18787
128	8904	18705
129	8969	18629
130	9031	18545
131	9101	18478
132	9167	18404
133	9236	18334
134	9297	18250
135	9357	18164
136	9424	18091
137	9489	18016
138	9554	17939
139	9616	17858
140	9683	17787
141	9750	17716
142	9813	17637
143	9880	17565
144	9951	17501
145	10019	17431
146	10088	17363
147	10171	17319
148	10253	17272
149	10321	17201
150	10393	17138
151	10466	17077
152	10550	17032
153	10619	16963
154	10688	16894
155	10768	16843
156	10839	16777
157	10903	16700
158	10963	16617
159	11030	16545
160	11095	16470
161	11158	16393
162	11228	16325
163	11309	16275
164	11384	16214
165	11465	16161
166	11546	16109
167	11635	16068
168	11729	16033
169	11815	15986
170	11907	15946
171	11986	15888
172	12052	15814
173	12132	15757
174	12201	15687
175	12321	15681
176	12424	15652
177	12492	15580
178	12551	15496
179	12619	15423
180	12692	15357
181	12765	15290
182	12826	15210
183	12896	15139
184	12960	15062
185	13031	14993
186	13098	14919
187	13166	14847
188	13232	14772
189	13297	14697
190	13364	14623
191	13433	14553
192	13500	14480
193	13567	14406
194	13634	14334
195	13713	14273
196	13782	14202
197	13848	14128
198	13922	14062
199	13993	13993
200	14062	13922
201	14130	13851
202	14201	13781
203	14268	13709
204	14334	13635
205	14398	13559
206	14465	13487
207	14536	13418
208	14603	13345
209	14673	13275
210	14741	13204
211	14810	13134
212	14878	13062
213	14943	12988
214	15013	12918
215	15077	12844
216	15148	12775
217	15220	12707
218	15289	12636
219	15357	12564
220	15427	12495
221	15490	12420
222	15559	12349
223	15623	12275
224	15687	12201
225	15755	12130
226	15824	12059
227	15888	11985
228	15957	11916
229	16029	11847
230	16094	11774
231	16159	11701
232	16230	11633
233	16300	11563
234	16369	11493
235	16433	11419
236	16500	11348
237	16566	11276
238	16630	11202
239	16696	11130
240	16768	11062
241	16835	10991
242	16901	10920
243	16966	10847
244	17035	10777
245	17101	10705
246	17172	10637
247	17244	10568
248	17308	10496
249	17377	10426
250	17445	10356
251	17512	10285
252	17579	10214
253	17642	10141
254	17711	10071
255	17779	10000
256	17847	9930
257	17919	9862
258	17992	9795
259	18061	9725
260	18128	9654
261	18199	9585
262	18263	9513
263	18335	9445
264	18397	9372
265	18462	9300
266	18529	9230
267	18596	9159
268	18665	9090
269	18733	9019
270	18803	8950
271	18874	8882
272	18943	8812
273	19015	8744
274	19086	8675
275	19161	8608
276	19227	8537
277	19302	8470
278	19369	8400
279	19442	8332
280	19517	8265
281	19588	8196
282	19669	8131
283	19744	8064
284	19820	7997
285	19898	7931
286	19980	7867
287	20052	7798
288	20120	7728
289	20199	7662
290	20271	7593
291	20338	7522
292	20417	7456
293	20491	7388
294	20567	7320
295	20639	7251
296	20712	7183
297	20796	7118
298	20924	7068
299	21005	7001
300	21078	6932
301	21147	6862
302	21225	6794
303	21299	6726
304	21373	6657
305	21448	6588
306	21528	6521
307	21605	6453
308	21689	6387
309	21764	6318
310	21896	6266
311	22044	6217
312	22141	6154
313	22238	6090
314	22340	6028
315	22431	5962
316	22513	5894
317	22593	5826
318	22681	5759
319	22765	5691
320	22845	5622
321	22925	5553
322	23022	5488
323	23120	5423
324	23203	5354
325	23290	5286
326	23419	5228
327	23559	5171
328	23630	5099
329	23708	5029
330	23780	4957
331	23860	4887
332	23939	4816
333	24019	4746
334	24092	4674
335	24159	4601
336	24225	4528
337	24300	4457
338	24366	4384
339	24437	4312
340	24505	4240
341	24566	4166
342	24635	4093
343	24713	4023
344	24780	3950
345	24853	3878
346	24924	3806
347	24991	3734
348	25061	3662
349	25127	3589
350	25194	3517
351	25260	3444
352	25330	3372
353	25402	3300
354	25470	3228
355	25540	3156
356	25614	3085
357	25689	3013
358	25769	2943
359	25842	2871
360	25916	2799
361	25990	2728
362	26063	2656
363	26135	2584
364	26213	2513
365	26283	2441
366	26367	2370
367	26451	2300
368	26531	2228
369	26614	2157
370	26687	2086
371	26756	2013
372	26826	1941
373	26895	1869
374	26964	1797
375	27037	1725
376	27114	1654
377	27309	1589
378	27394	1517
379	27464	1445
380	27537	1373
381	27620	1301
382	27712	1230
383	27782	1157
384	27855	1085
385	27931	1013
386	28004	940
387	28076	868
388	28147	795
389	28217	723
390	28286	651
391	28355	578
392	28424	506
393	28501	434
394	28574	361
395	28643	289
396	28717	217
397	28787	144
398	28860	72
399	28935	0
